CreateDate,Tweet,User
Tue Mar 20 10:34:48 +0000 2018,Early 10k run done and lift a few weights about for good measure ???#run #running #marathon #marathontraining #gym… https://t.co/0sho47k3MK,andycook5
Sun Mar 18 12:11:43 +0000 2018,Well the 10k got cancelled so no excuses gym for an  hours circuit training then a 10k run of my own ????????… https://t.co/7yR6CkmCOw,andycook5
Thu Mar 08 23:02:32 +0000 2018,Top half body workout tonight need to rest them weary legs ???#running #run #marathontraining #gymlove #gymlife… https://t.co/6G2B4bJ4Un,andycook5
Wed Mar 07 22:51:48 +0000 2018,Any run is better than no run at all quick 5k before bedtime after 14 shift at work ???#running #runningmarathon… https://t.co/Hutxpb75bJ,andycook5
Sun Mar 04 16:09:47 +0000 2018,"R I P Sir Roger Bannister 
First ever athlete to run sub 4 minute mile 
Age 88 #RunningMan #running #run #marathon #MarathonTweets",andycook5
Sun Mar 04 14:41:13 +0000 2018,Well pleased managed 70k on the treadmill this week ???superb gym nice to be able to keep training even if you can’… https://t.co/0rdYV3rnaI,andycook5
Fri Mar 02 16:54:53 +0000 2018,Ever had one of those days when your running and you just don’t wanna stop today was one of those kickass days ???… https://t.co/SoLsnDP7px,andycook5
Thu Mar 01 12:13:24 +0000 2018,Make the most of being off work treadmill time lovely ???burning calories like an arsonist #running… https://t.co/XMf8hYMCFf,andycook5
Tue Feb 27 11:40:21 +0000 2018,Bit of time off can only mean one thing headphones on hour and a half cardio ???#running #fitness #workout… https://t.co/4OoRw5FPTl,andycook5
Sun Feb 25 17:57:31 +0000 2018,Great run this morning 830am frosty start 11 miles training session ??running #training #running #fitnessaddict… https://t.co/qlV56FnXSX,andycook5
Fri Feb 23 22:14:27 +0000 2018,2nd 10k this week smashed it tonight with 200 ab crunches for good measure to end ?????#running #fitness… https://t.co/JRvkCvZ43p,andycook5
Fri Feb 23 15:38:09 +0000 2018,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Wed Feb 21 11:56:39 +0000 2018,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Fri Feb 16 14:51:07 +0000 2018,Break from work means hit the gym burn those calories like an arsonist ??????????#running #fitness #marathontraining #run #GymLife,andycook5
Thu Feb 15 08:31:08 +0000 2018,Hour thrashing the treadmill before work can’t beat it ready to rock ??????????#fitness #running #marathontraining… https://t.co/kPXDHCNNSF,andycook5
Sun Feb 11 14:53:49 +0000 2018,All done head wind and snowing in the rain across an open airfield but I loved the run well pleased to see the fini… https://t.co/o9NiC8tZiZ,andycook5
Sun Feb 11 06:52:57 +0000 2018,Here we go again up at 430 first run of the season just arrived at Leicester it’s raining ?? windy ?little snow in… https://t.co/ncnau1nYF7,andycook5
Wed Feb 07 10:41:13 +0000 2018,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Tue Feb 06 14:48:02 +0000 2018,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Thu Feb 01 16:34:48 +0000 2018,This year will be awesome I intend to break all my pb on 10k 10milers half marathon and full marathons and I’m goin… https://t.co/JVlunhXBUf,andycook5
Tue Jan 30 13:12:43 +0000 2018,Awesome up hill training session today getting ready for a long marathon season this year bring it on can’t wait ??… https://t.co/TXTV59civi,andycook5
Tue Jan 30 12:40:11 +0000 2018,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Sun Jan 28 17:57:33 +0000 2018,Loved my11 mile run this morning readying for Leicester half marathon in 2 weeks time ????#running #runner… https://t.co/VhnVsvVxgk,andycook5
Fri Jan 26 09:17:10 +0000 2018,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Fri Jan 19 22:05:30 +0000 2018,Feeling pooooped out at the gym I feel if you have enough energy to open the door on the way out you haven’t worked… https://t.co/OuSk1iOO29,andycook5
Thu Jan 18 09:29:29 +0000 2018,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Wed Jan 17 23:04:30 +0000 2018,Nice way to end the day had a 8mile run then to gym to finish  off legs and warm down awesome #running… https://t.co/AFrhMqj0AO,andycook5
Tue Jan 16 09:41:42 +0000 2018,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Fri Jan 05 18:08:30 +0000 2018,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7eYk0,andycook5
Mon Jan 01 12:15:29 +0000 2018,Happy new year to all hope you all have a healthy happy and kickass new year ??????,andycook5
Sat Dec 30 18:37:11 +0000 2017,Can’t wait to get the running shoes on tomorrow first run after injury gently does it gonna find it hard running sl… https://t.co/GdBGOI2f9w,andycook5
Fri Dec 29 18:08:41 +0000 2017,Feeling awesome as you walk out the gym door knowing you worked as hard as you could nothing comes close to that fe… https://t.co/Il1dtcl2vt,andycook5
Thu Dec 28 18:23:05 +0000 2017,"Poooooped out and love it ??????????????
Hard sesh today can’t wait to get back running who invented injuries… https://t.co/72hj0QNsNX",andycook5
Wed Dec 20 18:45:51 +0000 2017,Weights and cardio 2 hours today feeling pooped and tomorrow really is a rest day roll on Friday then ?????????????… https://t.co/1gjrvSQ8QX,andycook5
Tue Dec 19 22:37:21 +0000 2017,Feeling shattered tonight?? 3rd 10k in 3 days???? will have to rest tomorrow? lol no chance ????#running #gymfit… https://t.co/HwcMg3s0nF,andycook5
Tue Dec 19 21:14:57 +0000 2017,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Sun Dec 17 16:52:00 +0000 2017,Big session in gym not bad for a 54 year old #gym #determination #nevergiveup #running #fitness #marathon https://t.co/5N1tdoHEln,andycook5
Sat Dec 16 18:49:15 +0000 2017,Weight training tonight for the first time in 9 months god these are soddin heavy ????????#weightlifter… https://t.co/XRzPjpxdE2,andycook5
Wed Dec 13 22:16:49 +0000 2017,Not bad for a 54 year old lost 9.8 stone and thrashed my own ass cos no one will do it for me nothing fancy just ha… https://t.co/cH0p0jvpY8,andycook5
Mon Dec 11 22:59:25 +0000 2017,Loving my gym next year beast mode will not be enough #marathontraining #gym #running #fitness,andycook5
Sun Dec 10 21:25:43 +0000 2017,Couldn’t sit at Home doing nothing music on head down run time love it #running #fitness #marathon,andycook5
Wed Dec 06 21:23:26 +0000 2017,Awesome run tonight full of cold feel shite it’s running night I go running it’s as simple as that nuff said… https://t.co/BMZxw8VyNr,andycook5
Fri Dec 01 14:41:53 +0000 2017,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Sun Nov 26 10:58:48 +0000 2017,Congratulations to all involved at #Doncaster10k awesome event well pleased and smashed personal best awesome day ??????thankyou,andycook5
Sat Nov 18 19:59:31 +0000 2017,Nice 15k run to finish the week off well pleased with this weeks results roll on #Doncaster10k next week ????????,andycook5
Fri Nov 17 23:27:20 +0000 2017,RT @EmceeNICELA: Emcee N.I.C.E. #NewMusicFriday https://t.co/FLYCsvY2HI #NewAlbum #PRAISE #2 Billboard #Gospel #Album #AvailableNow along w…,andycook5
Fri Nov 17 15:06:41 +0000 2017,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Fri Nov 17 10:25:49 +0000 2017,Looking forward to Doncaster 10k next weekend #doncaster10k #runner #marathon,andycook5
Sat Nov 11 19:09:46 +0000 2017,Have an awesome weekend all,andycook5
Sun Nov 05 12:56:44 +0000 2017,Up at 6 Nice 13 mile run to start the day???? #running #marathon #fitness #cardio,andycook5
Fri Nov 03 22:47:22 +0000 2017,In the gym ?late ?nothing like it? #marathon #runner #running #fitness #calorieburn #gym,andycook5
Tue Oct 31 22:51:15 +0000 2017,Halloween on a treadmill flat out scary stuff #running #marathon #gymaddict #fitness,andycook5
Mon Oct 23 08:51:37 +0000 2017,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Thu Oct 19 11:54:38 +0000 2017,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Tue Oct 17 21:51:16 +0000 2017,Loving the training for a marathon hard consistent and so rewarding I can do it I will do it ?#running #marathon #gymfit #training #fitness,andycook5
Mon Oct 16 21:44:20 +0000 2017,Just had to run tonight ???????#running #marathontraining #cardio #gym #fitness,andycook5
Sun Oct 15 17:17:49 +0000 2017,Great session today at #anytimefitness lincoln had a little play around with nutrition feeling awesome #running #marathon #gym #cardio #fit,andycook5
Sat Oct 14 11:23:42 +0000 2017,Looking forward to a long run tomorrow loving this marathon training bring it on ??????,andycook5
Wed Oct 11 06:35:24 +0000 2017,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Wed Oct 11 06:34:01 +0000 2017,Nothing better than a quick hour in the gym before work ????#Gym #running #Gym dedicated #fitness,andycook5
Sun Oct 08 12:02:07 +0000 2017,Awesome team at plusnet Yorkshire Marathon thanks to all staff and volunteers for a great Day well done to all #yorkshiremarathon,andycook5
Sun Oct 01 12:16:16 +0000 2017,Massive shoutout to the staff and volunteers at #lincolnhalfmarathon today you are awesome well done to all the runners ??to you all ???????,andycook5
Sun Sep 24 10:07:05 +0000 2017,Massive thanks to all the volunteers at Sheffield 10k awesome event as always congrats to all the runners #runforall #Sheffield10k,andycook5
Wed Sep 20 16:45:22 +0000 2017,"RT @LufcColin: @UKRunChat Special anniversary today. Exactly 2years since #TwinPower did first Half Marathon. 
Wonderful memories. @mndasso…",andycook5
Tue Sep 19 19:25:02 +0000 2017,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Sun Sep 17 21:10:46 +0000 2017,RT @JuliaBradbury: Trump 'moment of the day'. Dick. https://t.co/NJ2QFWa6fD,andycook5
Sun Sep 17 12:55:14 +0000 2017,Well pleased ran 13 miles got to distance 2 weeks before lincoln half marathon looking forward to Sheffield 10k next week #marathon #running,andycook5
Sun Sep 10 17:22:47 +0000 2017,Massive well done to all who did great north run today you are amazing and very inspiring love to you all #GreatNorthRun2017,andycook5
Sun Sep 10 12:47:16 +0000 2017,Had cracking run today 10 miles head wind back loved it ???#running #marathon,andycook5
Sun Sep 03 10:35:55 +0000 2017,@runforall Thanks ???,andycook5
Sun Sep 03 09:33:31 +0000 2017,Awesome team of Volunteers at Leicester this crew is awesome thanks for all your hard work #Leicester10K #runforall #janetomlinson,andycook5
Sun Sep 03 09:31:00 +0000 2017,Well pleased nearly 2 minutes knocked off my personal best great time at Leicester 10k #Leicester10K https://t.co/NMyboaU959,andycook5
Sat Sep 02 07:59:44 +0000 2017,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Mon Aug 28 09:50:34 +0000 2017,Bank holiday means more gym time? ???????#Gym #runner #running #fitness,andycook5
Sun Aug 27 17:27:38 +0000 2017,RT @LFCphoto: Klopp. #LFC #LIVARS https://t.co/34DuzJw5Cf,andycook5
Sun Aug 27 17:24:41 +0000 2017,RT @itvfootball: - @LFC dominate against woeful @Arsenal https://t.co/WgyJP4Ee9f https://t.co/sPopnoeMi7,andycook5
Sun Aug 27 17:21:10 +0000 2017,"RT @LFC: The toughest choice you'll make all day...

Pick your Man of the Match...",andycook5
Sun Aug 27 17:17:11 +0000 2017,RT @LFCphoto: Mo. ?  #LFC #LIVARS https://t.co/nnaIlRnyWS,andycook5
Sun Aug 27 17:15:48 +0000 2017,"Awesome Liverpool destroy Arsenal 4 0??
Leeds Utd beat forest 2 0??
Lewis Hamilton wins the Grand Prix ?
That's What I call a good weekend ?",andycook5
Sun Aug 27 13:46:37 +0000 2017,Well worth the early start this morning  10 mile run before 1030 ??#running #fitness #marathon,andycook5
Fri Aug 25 15:43:46 +0000 2017,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Thu Aug 24 13:34:44 +0000 2017,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Wed Aug 23 09:41:02 +0000 2017,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Tue Aug 22 22:17:52 +0000 2017,Great 5k run including twice up and down Lindum hill love to run??not bad after a full day at work #running #fitness #marathon ???,andycook5
Tue Aug 08 22:12:30 +0000 2017,Awesome? to get back in the gym ?????after a rest week? missed it big time love this Gym ??#gymlife #cardio #running,andycook5
Sun Aug 06 11:29:49 +0000 2017,So pleased got my pb at #york10k superb organisation see you all in Leicester congrats to all involved ????? https://t.co/kUbY7dDugO,andycook5
Sun Aug 06 06:48:19 +0000 2017,Hats off to all the staff at York we just turn up and run they are working tirelessly awesome crew thanks guys ??#york10k #runforall,andycook5
Thu Jul 27 10:30:02 +0000 2017,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Tue Jul 25 22:34:25 +0000 2017,Great cardio session tonight #run #gym #fitness #marathon,andycook5
Tue Jul 25 22:01:39 +0000 2017,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Thu Jul 20 08:44:38 +0000 2017,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Wed Jul 19 21:53:05 +0000 2017,Great 5k run ? to finish the day? feeling pumped ?great feeling ?,andycook5
Wed Jul 19 16:12:16 +0000 2017,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Sun Jul 16 12:11:32 +0000 2017,Nothing like a 10k run ?to start the day maybe my day off but training never stops sorry couch you will have to find someone else's ass,andycook5
Thu Jul 13 22:11:36 +0000 2017,Great cardio workout ? up early need to run my ass off in the morning ?dropped a stone in 3 weeks well pleased ?love my gym?#gym #running,andycook5
Mon Jul 10 14:24:34 +0000 2017,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Sun Jul 09 10:25:35 +0000 2017,Leeds 10k ?thanks to all who organise and staff these events you are all amazing great event today thankyou #RunforAll #Leeds10k ???,andycook5
Wed Jul 05 14:27:50 +0000 2017,ATC Driving School has just received another great review on FreeIndex - The UK Business Review Site https://t.co/dLkxI7wzIA,andycook5
Fri Mar 23 04:34:13 +0000 2018,"Me and my johnson are so enjoy the nature in Miami ?

#TGIF #tan #fav #pic #picoftheday #fashionmodel #fitnessmodel… https://t.co/dQy2hmmFTY",MarkKeerati
Wed Mar 21 14:44:19 +0000 2018,? Shit Head https://t.co/qc9WJg58vS,MarkKeerati
Wed Mar 21 14:43:18 +0000 2018,OMG! May happen one day in Washington https://t.co/KUIQFlmPVC,MarkKeerati
Wed Mar 21 06:41:24 +0000 2018,"RT @CNN: Myanmar's President Htin Kyaw, one of the most loyal allies of the country's de facto leader Aung San Suu Kyi, is resigning due to…",MarkKeerati
Wed Mar 21 01:46:28 +0000 2018,"Get wet in White Undie
#throwback #tan #fav #pic #picoftheday #fashionmodel #fitnessmodel #musclemodel #muscle… https://t.co/xolsLJQfPv",MarkKeerati
